date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:27:50	4438/4438	---M--	200	added ('OK')	image/webp	etag:%221156-652a8983-8d1acbe745037f19;;;%22	https://ppc5g.com/images/pharma.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/pharma.webp	(from https://ppc5g.com/index.php)
17:27:50	7966/7966	---M--	200	added ('OK')	image/webp	etag:%221f1e-652a897f-a8ba1135bff7be51;;;%22	https://ppc5g.com/images/ayurveda.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/ayurveda.webp	(from https://ppc5g.com/index.php)
17:27:50	4938/4938	---M--	200	added ('OK')	image/webp	etag:%22134a-652a8984-38861dc8f4b1304;;;%22	https://ppc5g.com/images/sports.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/sports.webp	(from https://ppc5g.com/index.php)
17:27:51	3908/3908	---M--	200	added ('OK')	image/webp	etag:%22f44-652a897f-da83310b83ce93eb;;;%22	https://ppc5g.com/images/beverages.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/beverages.webp	(from https://ppc5g.com/index.php)
17:27:51	4752/4752	---M--	200	added ('OK')	image/webp	etag:%221290-652a8982-436817692f82c48b;;;%22	https://ppc5g.com/images/interior-design.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/interior-design.webp	(from https://ppc5g.com/index.php)
17:27:51	4870/4870	---M--	200	added ('OK')	image/webp	etag:%221306-652a8980-4205d2bc12aabcc2;;;%22	https://ppc5g.com/images/event.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/event.webp	(from https://ppc5g.com/index.php)
17:27:51	10831/10831	---M--	200	added ('OK')	image/png	etag:%222a4f-652a897f-1167655e01032404;;;%22	https://ppc5g.com/images/club-dining.png	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/club-dining.png	(from https://ppc5g.com/index.php)
17:27:52	4962/4962	---M--	200	added ('OK')	image/webp	etag:%221362-652a8984-86214a5192e7a2c3;;;%22	https://ppc5g.com/images/restaurants.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/restaurants.webp	(from https://ppc5g.com/index.php)
17:27:52	4174/4174	---M--	200	added ('OK')	image/webp	etag:%22104e-652a8981-de973d5e3345a19f;;;%22	https://ppc5g.com/images/hospitality.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/hospitality.webp	(from https://ppc5g.com/index.php)
17:27:52	7740/7740	---M--	200	added ('OK')	image/webp	etag:%221e3c-652a8983-de9bd029e691f03b;;;%22	https://ppc5g.com/images/ngo.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/ngo.webp	(from https://ppc5g.com/index.php)
17:27:52	4754/4754	---M--	200	added ('OK')	image/webp	etag:%221292-652a8982-2ca3b80f38b959d9;;;%22	https://ppc5g.com/images/law.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/law.webp	(from https://ppc5g.com/index.php)
17:27:53	5034/5034	---M--	200	added ('OK')	image/webp	etag:%2213aa-652a8981-8bb8b7b9f1db6d;;;%22	https://ppc5g.com/images/fmcg.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/fmcg.webp	(from https://ppc5g.com/index.php)
17:27:53	3574/3574	---M--	200	added ('OK')	image/webp	etag:%22df6-652a8981-17aaa464b5c0aa57;;;%22	https://ppc5g.com/images/finance.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/finance.webp	(from https://ppc5g.com/index.php)
17:27:53	10350/10350	---M--	200	added ('OK')	image/webp	etag:%22286e-652a8982-e9a761c91445bad8;;;%22	https://ppc5g.com/images/it-iot.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/it-iot.webp	(from https://ppc5g.com/index.php)
17:27:53	5698/5698	---M--	200	added ('OK')	image/webp	etag:%221642-652a8983-bd6a7ca7d5d90559;;;%22	https://ppc5g.com/images/media.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/media.webp	(from https://ppc5g.com/index.php)
17:27:54	7704/7704	---M--	200	added ('OK')	image/webp	etag:%221e18-652a8981-269b54ca136d3273;;;%22	https://ppc5g.com/images/footwear.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/footwear.webp	(from https://ppc5g.com/index.php)
17:27:54	8992/8992	---M--	200	added ('OK')	image/webp	etag:%222320-652a897f-abb76fe923bbe140;;;%22	https://ppc5g.com/images/agriculture.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/agriculture.webp	(from https://ppc5g.com/index.php)
17:27:54	4004/4004	---M--	200	added ('OK')	image/webp	etag:%22fa4-652a897f-f1e9fe5b6d0b9ec8;;;%22	https://ppc5g.com/images/automotive.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/automotive.webp	(from https://ppc5g.com/index.php)
17:27:54	4438/4438	---M--	200	added ('OK')	image/webp	etag:%221156-652a8982-71427f783e75abab;;;%22	https://ppc5g.com/images/logistics.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/logistics.webp	(from https://ppc5g.com/index.php)
17:27:55	6306/6306	---M--	200	added ('OK')	image/webp	etag:%2218a2-652a8982-43fa48f646915a8a;;;%22	https://ppc5g.com/images/jewellery.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/jewellery.webp	(from https://ppc5g.com/index.php)
17:27:55	5690/5690	---M--	200	added ('OK')	image/webp	etag:%22163a-652a897f-766aba9295e8fe2e;;;%22	https://ppc5g.com/images/beauty-products.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/beauty-products.webp	(from https://ppc5g.com/index.php)
17:27:55	1518/1518	---M--	200	added ('OK')	image/webp	etag:%225ee-652a8984-55ea8a277e2092e6;;;%22	https://ppc5g.com/images/steel.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/steel.webp	(from https://ppc5g.com/index.php)
17:27:55	2304/2304	---M--	200	added ('OK')	image/webp	etag:%22900-652a897f-eb5e643d345dc3d8;;;%22	https://ppc5g.com/images/cements.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/cements.webp	(from https://ppc5g.com/index.php)
17:27:56	4984/4984	---M--	200	added ('OK')	image/webp	etag:%221378-652a8981-cb143ae455d27774;;;%22	https://ppc5g.com/images/hypermarkets.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/hypermarkets.webp	(from https://ppc5g.com/index.php)
17:27:56	2128/2128	---M--	200	added ('OK')	image/webp	etag:%22850-652a8983-2f980deb6afde08a;;;%22	https://ppc5g.com/images/packaging.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/packaging.webp	(from https://ppc5g.com/index.php)
